name,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26
cantal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,0,0,2,0,1,0,0,0,0,1,0,0,1,2,0,1,1,3,4,0,1,2,1,2,0,0,1,0,0,0,1,1,0,0,6,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
charente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,2,0,0,2,0,0,3,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
charente_maritime,0,0,0,0,0,0,0,0,0,0,3,1,0,0,6,4,6,5,0,0,5,11,3,5,5,0,0,10,4,1,4,3,0,0,1,42,2,6,5,0,0,2,2,2,5,3,0,0,3,0,5,1,0,0,0,1,0,1,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
cher,0,0,0,0,0,0,0,0,0,3,5,5,5,5,13,19,14,11,12,5,8,21,11,12,4,2,0,6,14,31,6,14,1,0,0,17,10,6,4,0,1,9,7,6,1,3,1,0,1,0,6,3,0,0,0,9,5,3,1,0,0,0,1,2,0,0,2,0,0,4,3,0,0,1,0,0,1,0
correze,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,1,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cote_d'or,0,0,0,0,0,0,0,1,0,0,4,1,0,4,8,2,2,4,1,0,6,2,8,6,9,0,0,7,2,2,3,2,0,0,0,5,1,1,1,0,0,1,1,1,3,5,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cotes_d'armor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
creuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
dordogne,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,3,1,2,2,0,2,1,2,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doubs,0,0,0,0,0,1,0,0,0,0,1,0,0,5,5,20,8,9,0,0,3,14,10,7,6,1,0,13,10,13,7,11,0,0,0,12,7,5,13,1,0,2,9,0,0,2,0,0,2,6,0,3,0,1,0,0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
drome,0,0,1,0,0,0,0,0,3,6,10,0,0,10,16,3,8,2,3,0,4,2,9,2,7,0,0,7,6,0,5,0,1,0,0,7,3,2,3,0,0,0,0,0,5,2,0,0,1,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eure,0,0,0,0,0,0,0,0,1,0,3,1,1,3,6,11,12,16,0,0,12,13,13,10,29,1,1,20,63,27,26,37,2,0,0,36,31,23,28,5,2,19,8,16,12,6,1,0,10,9,10,3,0,1,0,5,4,3,1,1,2,0,4,3,1,4,4,0,0,6,3,3,0,3,0,0,3,2
eure_et_loir,0,0,2,1,0,0,1,0,0,5,0,1,0,16,15,16,28,23,0,0,28,19,27,28,31,1,0,46,43,33,37,113,0,0,1,9,19,16,9,0,0,11,7,0,6,3,1,0,3,6,4,2,0,0,0,9,7,0,1,0,0,0,17,0,1,3,1,0,0,0,1,1,0,0,0,0,1,0
finistere,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gard,0,0,0,0,0,0,1,0,1,1,2,1,1,3,6,6,7,8,2,0,12,11,18,19,17,2,0,5,7,6,7,35,1,0,1,10,10,4,5,1,0,8,5,9,1,9,1,0,1,1,15,1,0,0,0,4,17,8,3,0,0,0,5,3,0,2,2,0,0,1,5,5,0,2,0,0,7,2
haute_garonne,0,0,0,0,0,0,3,3,4,10,9,1,1,5,15,10,20,13,5,2,24,10,8,8,4,0,0,12,7,6,12,12,1,0,2,2,5,5,4,0,0,13,1,1,6,6,2,1,3,3,1,5,0,1,0,9,3,3,7,0,3,5,11,11,12,3,0,1,0,5,0,0,0,1,0,0,0,1
gers,0,0,0,0,0,0,0,0,2,1,5,1,0,2,1,5,4,5,2,0,6,4,4,6,3,1,0,3,3,5,8,4,0,0,0,6,12,6,3,0,0,7,4,1,4,0,0,0,5,3,8,5,0,0,0,2,3,0,6,0,0,0,1,1,1,1,1,0,0,19,6,2,0,0,0,0,3,0
gironde,0,0,0,0,0,0,2,5,5,6,6,0,1,21,20,13,13,24,3,0,28,23,19,21,21,3,0,18,10,12,11,12,0,0,0,14,7,5,2,0,0,1,9,2,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
herault,0,0,0,0,0,0,4,6,19,23,41,8,16,72,72,67,79,52,20,3,58,49,66,41,41,15,4,47,34,20,14,23,3,1,5,16,14,27,33,8,3,8,21,15,23,16,4,3,4,3,15,5,0,4,5,25,14,7,13,3,5,3,9,7,7,6,1,0,0,8,2,8,0,7,0,1,6,1
ille_et_vilaine,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indre,0,0,0,0,0,0,1,0,0,0,0,2,0,7,5,4,7,16,6,0,10,19,13,18,14,0,0,21,8,15,21,8,10,0,0,15,13,8,18,1,0,6,17,15,34,8,1,0,3,8,2,1,0,0,0,2,3,1,0,0,0,0,3,0,3,0,3,0,0,1,1,0,0,0,0,0,1,0
indre_et_loire,0,0,0,0,0,0,0,0,0,2,1,0,0,7,7,3,4,9,1,0,9,5,4,3,2,0,0,5,6,5,3,2,1,1,0,1,4,0,1,0,0,0,0,0,4,1,0,0,4,1,2,4,0,0,0,1,1,2,2,4,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0
isere,0,0,0,0,0,0,0,0,5,13,16,0,0,12,18,6,6,3,1,0,5,8,3,1,2,0,0,4,4,4,2,12,0,0,0,3,3,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jura,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,2,1,0,0,2,5,3,6,4,0,0,12,3,1,2,36,0,0,0,1,2,6,4,2,0,13,5,3,4,1,0,0,1,1,1,1,0,1,0,0,10,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
landes,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,1,3,3,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
loir_et_cher,0,0,0,0,0,0,0,0,0,1,2,1,0,3,8,6,3,0,0,0,0,3,0,2,3,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,0,1,0,3,0,0,0,0,1,0
loire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,1,1,1,0,0,1,2,0,0,1,0,0,0,1,10,1,0,0,0,0,0,6,10,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haute_loire,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,3,2,0,0,0,1,6,0,0,0,0,1,1,0,1,1,1,0,0,1,6,5,1,0,0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,2,1
loire_atlantique,0,0,0,0,0,0,0,2,0,0,1,1,1,3,0,3,5,2,2,0,5,3,5,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
loiret,1,0,0,0,0,0,2,1,0,3,2,2,0,11,13,14,13,19,7,0,26,23,23,19,19,4,0,18,20,21,19,15,0,0,0,0,1,1,3,0,0,0,2,0,2,4,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,2,2,3,0,0,1,0,0,0
lot,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,1,0,1,2,2,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lot_et_garonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lozere,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maine_et_loire,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manche,0,0,0,0,0,0,0,0,0,1,2,1,0,4,8,3,3,6,0,0,10,4,2,2,5,0,0,6,5,4,7,8,0,0,0,16,8,6,3,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marne,0,0,0,0,0,0,0,1,0,3,2,0,0,6,16,10,17,22,7,0,14,23,19,17,25,6,0,11,12,16,18,14,0,0,2,8,15,42,8,0,0,7,4,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
haute_marne,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,2,2,5,0,0,3,0,1,3,3,0,0,0,1,1,1,2,0,0,0,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mayenne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
meurthe_et_moselle,0,0,0,0,0,0,2,1,2,3,1,0,0,3,11,4,7,16,0,0,9,15,11,4,10,0,0,2,3,9,16,16,1,0,0,7,2,4,11,0,0,0,4,3,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
meuse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,3,1,0,0,1,4,2,6,7,0,0,0,1,6,3,6,0,0,0,3,0,7,1,0,0,7,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
morbihan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moselle,0,1,2,0,0,0,1,5,6,2,2,1,0,6,13,8,12,37,0,0,17,45,27,50,47,0,0,12,6,90,74,0,0,0,1,52,7,50,25,0,0,5,25,9,6,9,0,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nievre,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,4,2,4,0,5,5,4,10,7,1,0,3,2,8,35,4,3,1,0,12,8,4,4,0,0,3,7,2,1,0,0,0,1,0,2,7,0,0,0,1,0,0,0,0,0,0,3,0,1,4,1,0,0,0,0,0,0,1,0,0,2,0
nord,0,0,0,0,1,0,0,0,0,0,6,1,0,4,13,12,24,10,7,0,13,11,11,8,30,4,0,13,22,32,28,19,3,0,0,20,17,11,13,0,0,7,16,6,8,17,0,0,20,7,15,5,0,0,0,12,9,7,10,0,2,0,5,4,9,7,7,0,0,9,7,3,0,6,0,0,4,0
oise,0,0,0,0,0,0,2,4,4,6,5,5,4,32,38,47,42,34,4,11,78,67,51,74,74,24,3,44,38,69,60,63,9,2,0,32,41,18,11,5,1,19,11,30,16,13,5,2,16,9,16,19,0,3,0,24,25,15,9,0,0,1,6,15,10,7,7,1,0,11,7,3,0,2,1,0,3,4
orne,0,0,0,1,0,0,0,0,1,2,3,1,0,2,4,5,5,0,4,0,3,2,0,1,2,0,0,4,0,4,1,3,0,0,0,5,3,1,2,0,0,1,1,8,5,7,0,0,1,0,1,5,0,1,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pas_de_calais,0,0,0,1,0,0,0,0,0,1,1,0,0,3,9,6,2,3,4,0,14,16,15,16,20,2,0,20,35,20,27,31,7,0,0,28,21,23,16,2,1,25,17,10,10,9,2,0,14,20,39,10,0,0,0,10,3,13,5,0,0,0,1,2,3,7,6,0,0,8,0,6,0,0,0,0,2,1
puy_de_dome,0,0,0,0,0,0,0,0,1,2,6,1,0,8,4,5,6,6,3,1,11,8,11,10,13,7,0,10,8,10,8,10,7,1,2,10,18,2,0,6,0,4,2,4,1,4,2,1,0,1,0,0,0,0,1,0,1,1,10,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1
pyrenees_atlantiques,0,0,0,0,0,0,4,3,4,4,0,2,4,7,6,1,3,2,4,0,12,10,9,2,2,0,0,5,7,3,2,6,1,0,0,0,1,15,5,18,0,1,18,14,2,0,0,0,1,1,3,0,0,0,0,0,2,1,0,0,0,0,17,11,3,0,13,0,0,0,1,1,0,0,0,0,0,0
hautes_pyrenees,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,1,1,5,0,0,8,8,4,6,8,3,1,10,6,8,6,2,1,1,0,40,10,7,9,1,0,7,1,1,2,1,0,0,1,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0
pyrenees_orientales,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,2,0,3,0,0,1,4,2,3,2,0,0,0,0,1,0,2,0,0,1,3,2,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bas_rhin,1,0,0,0,0,0,0,0,0,3,1,0,0,5,9,31,22,25,6,0,44,31,20,17,21,3,0,23,21,19,12,0,0,0,0,37,25,27,27,0,0,4,9,1,5,4,0,0,9,2,2,7,0,0,0,6,5,1,0,0,0,0,0,0,18,6,14,1,0,3,2,8,0,3,0,0,13,0
haut_rhin,2,3,5,5,4,2,3,6,16,21,25,0,4,4,22,32,42,45,16,12,58,90,84,59,45,3,1,34,31,67,33,4,5,0,0,67,18,14,16,0,0,3,8,7,1,6,2,0,1,3,16,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,6,0,0,1,0,0,0,0,0,0,1,0
rhone,0,0,0,1,0,0,1,1,8,24,28,1,7,10,11,2,5,2,0,0,9,8,7,18,14,1,0,36,20,12,3,13,1,0,2,11,6,9,5,0,0,5,10,3,18,4,0,0,13,3,4,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
haute_saone,0,0,0,0,0,0,1,3,5,7,3,4,0,18,12,7,16,10,10,0,6,7,3,7,10,1,0,10,7,8,6,12,0,0,0,23,24,1,10,2,0,4,5,0,2,2,1,0,3,0,15,0,0,0,0,4,0,3,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
saone_et_loire,0,0,0,0,0,0,0,1,0,2,2,1,0,3,6,4,7,8,0,0,12,8,9,10,12,0,0,26,10,14,18,12,0,1,6,13,11,7,7,0,2,8,3,6,5,6,0,0,0,0,0,2,0,0,0,0,0,1,5,0,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0
sarthe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
savoie,0,0,0,0,0,0,0,0,1,1,1,0,0,3,2,3,0,2,0,0,3,3,0,0,4,0,0,4,1,4,1,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haute_savoie,0,0,0,2,0,0,11,4,13,16,25,4,2,37,36,26,24,13,5,0,34,41,22,19,14,2,0,15,27,14,8,43,2,0,0,30,7,9,4,1,0,8,5,6,33,4,0,0,6,18,3,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paris,1,2,3,4,13,13,29,45,76,83,91,65,63,167,140,171,177,187,95,49,182,188,121,138,166,80,18,123,114,125,171,188,28,16,35,79,115,92,79,50,4,42,35,58,35,32,16,1,12,33,16,43,0,16,2,41,8,28,11,0,3,0,4,6,9,8,5,2,0,1,6,6,0,2,0,0,3,2
seine_maritime,0,0,0,0,0,0,0,0,1,2,3,3,1,18,18,22,17,9,0,0,22,18,17,15,24,1,1,26,13,13,23,32,1,1,1,9,12,20,3,2,0,10,7,2,6,4,2,0,3,3,5,1,0,0,0,4,1,2,1,0,0,0,6,2,1,3,1,1,0,13,3,2,0,0,0,0,0,1
seine_et_marne,0,0,2,0,0,0,1,8,8,14,11,2,7,35,28,35,34,51,13,8,72,49,73,64,78,21,3,57,79,84,96,133,22,4,5,72,99,66,95,9,4,31,38,16,47,42,1,2,11,15,6,9,0,2,0,11,8,6,2,0,2,0,7,8,0,0,9,3,0,11,0,1,0,5,0,0,1,0
yvelines,0,0,1,10,4,1,12,13,12,7,22,7,3,38,38,35,48,58,16,4,48,52,48,46,40,3,2,31,33,50,34,72,2,0,3,41,52,15,49,3,0,11,18,48,21,30,2,0,7,10,7,2,0,1,1,7,8,3,4,0,7,0,6,5,4,1,22,2,0,7,4,9,0,2,0,0,7,5
deux_sevres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
somme,0,0,0,1,0,0,5,1,1,8,3,1,2,12,12,9,15,10,9,0,14,16,13,24,26,6,3,23,20,20,19,15,5,3,0,18,23,12,9,2,0,18,14,7,12,6,0,0,9,36,3,7,0,0,0,7,11,5,4,0,1,0,7,2,4,2,2,0,0,4,5,4,0,6,1,0,1,1
