name,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12
E10000018,2,1,2,2,4,12,16,6,9,25,18,21,13,16,15,15,4,14,44,45,19,26,20,31,31,20,18,34,27,23,12,13,22,27,46,34,16,20,30,30,22,14,21,18,4,23,25,21,17,12,7,6,13,14,19,18,10,9,6,15,16
E10000017,3,0,2,7,4,10,14,8,9,16,35,41,38,63,44,42,36,97,86,91,93,112,90,94,113,106,99,104,73,93,63,83,90,77,88,82,75,49,74,78,87,76,66,40,41,46,49,43,64,50,21,40,40,36,34,22,30,36,18,38,29
E10000016,7,5,5,8,5,12,14,16,7,21,47,37,54,54,58,49,59,62,93,111,82,92,67,72,142,120,102,117,125,59,117,116,67,174,166,182,101,68,116,125,127,84,111,77,54,75,102,88,69,53,55,34,55,79,65,53,48,31,25,54,55
E10000015,9,4,15,6,5,24,23,22,20,13,58,45,56,49,52,45,63,86,77,84,102,78,54,62,91,78,85,77,76,54,50,57,61,53,57,48,38,33,47,53,49,34,40,25,18,42,52,62,33,49,26,18,40,32,36,19,16,33,5,26,20
E10000014,15,5,11,19,15,17,25,30,23,35,49,34,43,56,58,79,49,85,79,71,87,89,74,74,102,115,86,73,83,52,71,79,64,94,76,86,60,50,83,65,64,63,54,40,27,45,45,39,54,43,18,20,22,20,17,21,17,9,17,32,30
E10000013,3,0,3,4,5,8,2,7,8,8,7,14,24,15,19,23,17,33,30,34,31,30,44,31,36,54,58,41,63,32,38,40,27,42,57,26,32,29,21,34,23,36,28,13,7,33,23,17,13,21,7,11,19,17,10,7,3,1,0,5,1
E10000012,11,4,6,5,10,9,10,15,19,30,51,37,68,62,70,57,54,76,87,108,100,93,84,54,100,90,91,63,57,61,46,81,50,62,53,45,40,27,70,76,61,63,90,76,48,73,40,48,40,57,29,21,44,32,25,47,25,15,11,34,15
E10000011,1,0,0,1,6,3,4,4,4,4,4,9,11,14,13,8,12,14,27,21,17,12,20,12,19,28,18,27,18,12,12,13,13,17,14,20,14,13,10,20,9,8,7,9,16,3,20,13,11,5,6,12,8,10,8,3,1,1,1,3,2
E10000008,6,2,3,4,2,3,0,3,1,4,5,6,15,15,12,13,10,9,15,25,23,19,33,20,14,25,12,21,28,16,31,24,25,25,20,31,14,7,18,15,9,26,12,7,7,25,9,23,7,12,4,11,4,3,10,4,2,4,6,4,1
E10000007,8,6,10,17,9,11,8,11,20,22,32,21,20,20,28,37,27,39,51,51,26,35,33,8,25,36,43,37,26,23,21,29,31,31,28,38,7,27,23,38,16,25,41,51,62,39,30,22,7,15,10,7,22,23,30,29,11,18,10,12,14
E10000006,7,6,1,12,13,23,26,12,23,16,27,45,47,49,54,28,49,34,68,74,67,43,52,79,97,72,87,69,34,25,34,52,52,36,37,31,23,19,37,43,37,35,42,29,14,39,27,76,44,30,13,5,12,24,25,30,9,1,2,11,2
E10000003,4,0,2,1,1,9,7,9,9,5,14,17,17,12,18,9,12,25,20,13,22,17,19,26,19,26,27,30,24,14,13,13,20,14,30,26,8,16,22,24,31,25,15,11,16,15,27,23,27,32,11,11,22,22,19,22,6,10,14,43,10
E10000002,6,3,2,9,6,6,6,7,10,12,8,9,23,10,17,21,11,29,23,19,32,24,21,12,26,37,32,22,26,19,7,21,21,25,27,29,18,16,11,17,21,11,22,19,8,15,21,5,6,9,9,5,10,4,7,8,4,3,7,8,4
E09000033,8,10,5,14,10,9,9,15,13,12,22,16,23,20,13,20,18,26,12,18,17,27,16,17,11,15,14,19,9,11,8,10,11,15,9,6,3,3,3,3,1,6,5,2,1,6,5,7,18,5,4,0,1,2,1,1,2,1,1,2,1
E09000032,4,11,12,13,20,15,17,23,16,16,27,28,44,33,30,20,23,27,41,38,38,28,26,17,34,26,25,24,30,14,5,14,19,19,20,18,11,4,9,6,4,6,5,6,4,6,8,9,10,7,3,2,2,3,0,7,1,3,4,1,5
E09000031,2,3,4,2,5,11,9,13,12,2,21,11,24,34,27,21,24,24,36,25,27,30,21,26,25,20,21,24,16,15,18,19,16,25,7,5,13,11,13,7,7,6,9,7,3,6,2,2,6,4,0,0,8,3,3,4,0,5,1,0,1
E09000030,3,3,3,3,6,11,10,11,8,4,11,17,27,34,22,12,20,15,24,24,26,34,20,19,25,16,22,15,15,13,14,14,7,12,10,2,5,6,9,8,5,5,1,4,4,2,1,4,3,2,2,2,1,0,1,1,1,2,1,4,1
E09000029,4,2,0,3,4,5,3,10,5,9,25,17,12,13,21,17,11,23,19,37,29,20,7,10,24,29,29,22,14,20,5,54,25,26,19,15,3,7,10,9,12,11,9,2,4,2,2,10,4,3,15,1,2,6,0,3,6,4,0,1,1
E09000028,8,10,12,16,18,20,15,23,13,28,44,31,29,32,48,32,34,52,34,56,41,47,37,25,39,47,41,41,30,27,11,23,21,22,20,15,17,3,11,17,4,12,9,1,4,13,5,14,11,7,2,2,6,5,5,1,2,4,4,4,1
E09000027,3,0,2,4,5,5,4,9,2,9,16,14,15,12,19,11,15,12,16,15,7,15,8,7,11,14,9,9,8,6,7,5,8,8,10,5,3,9,4,2,2,1,3,2,0,2,3,10,8,3,1,1,1,2,0,4,3,1,0,3,1
E09000026,3,3,5,6,8,12,12,5,10,12,18,11,15,15,21,15,19,25,26,22,28,20,24,22,26,47,29,30,10,11,24,19,14,7,13,9,5,6,14,10,12,6,3,5,1,7,7,4,16,4,2,2,7,20,4,9,0,1,2,0,1
E09000025,3,4,7,9,5,12,6,14,6,13,26,12,33,38,38,35,21,37,44,40,34,57,43,24,41,40,36,34,24,28,14,20,15,17,12,14,8,5,9,12,13,7,9,6,2,4,2,5,9,2,1,2,7,4,8,6,1,1,0,2,1
E09000024,7,6,1,6,10,13,11,9,7,8,15,23,23,14,24,14,13,23,28,27,33,23,14,17,37,17,14,20,12,18,9,20,12,10,14,16,6,6,11,9,1,5,6,5,1,3,6,4,3,3,2,0,3,2,7,0,1,0,2,1,3
E09000023,3,2,6,11,8,9,16,22,8,19,27,15,24,25,34,21,25,27,38,35,52,46,28,28,44,29,23,32,8,14,12,28,15,19,15,27,6,7,14,27,4,4,10,5,4,8,12,4,7,5,4,5,4,4,5,4,3,1,2,2,2
E09000022,11,10,13,16,21,17,22,30,18,33,28,26,36,43,35,37,27,52,41,49,43,38,31,17,42,39,32,30,16,45,16,16,11,23,19,10,11,11,15,8,12,18,11,4,2,7,8,7,7,10,0,3,3,3,3,7,1,4,1,2,1
E09000021,1,3,2,5,6,2,6,6,1,1,11,16,13,14,11,6,13,19,12,9,16,20,11,9,13,18,21,19,10,4,9,11,17,13,19,9,12,2,9,9,5,5,5,4,3,7,2,6,12,6,5,2,3,1,3,1,1,3,1,8,4
E09000020,3,3,1,6,7,8,5,5,5,6,8,7,14,22,20,9,9,21,18,16,19,14,7,6,11,19,20,18,10,4,3,7,6,4,9,8,6,0,7,6,17,5,0,4,1,3,3,0,4,4,2,1,1,1,1,6,1,1,0,0,2
E09000019,6,5,6,5,7,8,9,3,8,8,23,20,11,8,15,7,11,18,18,17,21,14,15,4,8,13,11,11,4,3,7,6,7,8,6,12,4,0,11,4,2,7,3,1,3,3,2,2,5,4,1,3,2,2,0,1,6,4,0,0,1
E09000018,5,4,5,9,8,10,13,7,14,8,17,15,17,15,26,8,15,24,22,32,33,24,16,19,17,22,23,23,16,9,10,9,21,13,11,11,10,11,12,11,5,6,6,7,0,5,4,8,17,8,4,2,14,1,3,5,3,3,0,1,2
E09000017,3,1,5,9,16,5,13,11,9,10,17,18,17,20,26,11,18,18,33,21,17,44,17,16,23,27,18,32,20,17,11,17,17,14,14,19,15,10,21,12,10,6,8,2,4,7,6,5,3,4,4,2,4,5,4,9,0,3,0,0,1
E09000016,1,2,4,2,3,11,7,4,6,13,10,16,13,11,10,6,9,16,26,29,30,32,21,20,22,33,31,25,26,18,19,17,14,16,19,8,9,10,11,7,10,8,7,5,1,8,2,2,4,17,4,2,9,5,2,0,0,1,1,2,1
E09000015,4,9,6,12,14,23,11,14,18,15,19,26,29,29,39,27,22,29,26,23,31,23,24,26,25,29,25,31,27,16,13,23,15,14,16,18,13,13,13,23,13,11,12,10,5,14,8,28,6,5,5,2,16,10,4,13,6,4,1,2,0
E09000014,8,1,4,2,4,13,10,11,11,11,15,19,12,9,19,16,16,20,18,23,27,26,17,8,13,29,13,20,11,10,12,14,10,13,5,5,3,13,4,7,4,3,5,6,2,3,3,5,2,6,2,0,1,4,4,3,3,0,3,1,1
E09000013,3,2,3,3,8,9,3,8,12,14,14,14,19,24,8,12,7,12,17,26,21,19,16,10,15,22,19,10,16,4,7,8,9,28,25,15,4,6,8,18,22,50,9,2,0,2,4,7,4,8,1,1,5,1,1,3,2,1,0,1,1
E09000012,4,5,2,6,6,7,6,0,5,14,20,20,16,23,16,12,14,17,31,32,38,25,24,20,23,27,17,16,14,15,11,8,8,12,7,9,5,5,12,3,6,7,2,1,3,3,1,4,2,6,2,1,1,4,4,3,0,0,0,1,1
E09000011,5,2,6,5,14,12,6,14,18,6,13,17,19,11,18,16,12,13,30,29,23,23,13,22,36,15,23,18,14,11,14,11,29,14,10,10,8,4,9,6,10,5,10,2,2,3,5,7,6,8,3,0,4,2,2,7,3,1,0,1,4
E09000010,4,7,2,2,12,7,15,20,8,18,21,24,21,16,16,20,9,26,26,26,26,26,19,12,34,32,31,30,24,21,22,14,35,11,18,30,10,7,25,15,10,13,21,18,3,4,3,6,3,4,4,1,3,5,2,1,1,0,0,1,1
E09000009,3,2,8,14,9,18,18,16,11,18,29,34,36,29,37,20,25,28,39,27,41,30,26,14,30,44,36,30,45,26,21,33,26,42,15,17,13,11,19,14,9,10,14,8,5,9,13,18,7,12,16,3,5,4,10,14,4,1,0,6,4
E09000008,4,14,6,13,21,15,9,25,25,24,36,27,43,44,42,22,26,56,46,55,80,48,45,36,42,44,56,43,25,22,26,26,48,36,31,19,24,7,25,15,19,22,14,8,9,18,18,9,21,8,12,5,11,4,6,4,8,1,1,6,4
E09000007,5,1,3,3,4,10,5,6,15,11,14,20,22,29,19,11,6,17,18,19,25,19,23,16,17,19,22,17,10,9,8,13,9,20,11,10,14,5,7,6,7,10,4,3,1,1,4,3,8,5,1,0,0,4,4,5,2,2,1,5,1
E09000006,4,6,6,6,9,13,6,18,16,24,35,30,26,28,30,32,22,39,44,49,36,30,33,26,37,36,43,31,23,23,11,31,20,23,25,22,12,9,14,10,9,27,17,6,5,12,10,30,17,8,11,9,13,12,32,11,19,2,8,6,19
E09000005,3,7,8,10,23,22,22,21,18,26,46,28,46,44,48,32,53,57,46,56,58,55,49,37,37,28,43,29,39,22,26,25,34,26,34,28,24,14,15,16,9,15,10,6,4,5,9,9,12,16,6,3,2,5,8,5,9,6,0,5,5
E09000004,4,3,1,4,6,5,5,9,4,9,17,13,19,11,19,10,14,15,20,29,17,25,22,17,24,40,16,16,14,13,6,10,23,12,21,10,9,18,11,6,14,4,9,9,3,7,9,5,11,8,4,3,6,2,12,4,2,1,2,4,4
E09000003,6,6,10,11,7,14,26,21,18,26,31,39,45,55,54,34,30,42,45,37,65,37,38,40,37,44,49,33,21,20,17,22,20,21,13,14,13,9,10,23,6,11,10,7,5,7,14,12,9,4,4,4,7,6,6,5,2,1,1,3,2
E09000002,1,1,5,4,5,5,4,9,10,7,11,12,11,7,12,11,11,11,18,21,22,15,6,16,11,22,18,15,10,4,15,17,13,11,10,9,6,11,7,11,6,3,2,3,1,4,2,2,0,5,1,2,3,4,2,6,1,1,1,1,2
E08000031,11,8,3,4,15,5,7,15,11,5,9,24,11,13,26,19,12,21,23,19,17,11,20,10,22,15,32,19,25,10,9,28,17,16,26,27,16,12,22,20,38,16,36,18,14,24,12,36,8,26,1,7,18,7,3,13,8,8,2,6,3
E08000030,2,2,4,1,4,5,8,9,12,10,19,16,16,19,21,32,21,27,30,36,48,27,26,17,33,33,19,32,21,9,13,22,22,19,23,34,12,10,35,37,20,17,45,22,17,26,28,10,21,23,0,4,3,15,4,3,7,2,3,3,8
E08000028,2,3,4,5,2,7,18,6,7,13,22,17,17,14,19,18,29,35,35,30,37,31,19,24,23,28,34,25,36,12,18,33,30,38,33,25,21,21,30,24,13,18,31,12,11,22,35,27,12,7,8,8,11,16,12,14,5,3,3,21,7
E08000027,1,2,4,3,2,6,10,11,6,9,17,13,17,24,14,16,24,28,22,18,30,16,27,20,18,19,16,13,27,20,12,16,10,24,36,20,27,12,17,16,7,18,14,21,7,4,19,25,18,32,25,8,11,5,5,3,7,2,3,4,3
E08000025,14,7,12,15,24,32,35,52,30,26,65,67,61,92,69,80,105,123,131,108,102,81,82,70,64,84,88,60,64,30,50,45,82,79,81,93,58,49,54,64,63,53,46,37,32,20,26,44,35,22,21,26,27,51,26,24,31,33,18,30,26
E08000022,3,1,0,1,1,4,3,3,0,2,4,4,4,6,11,17,7,3,19,35,14,13,24,20,32,26,18,16,8,15,7,14,11,11,10,12,17,4,7,6,15,9,9,2,2,8,3,7,15,10,0,2,1,9,5,6,10,5,3,4,0
E08000021,2,2,4,0,6,3,5,8,9,5,18,20,19,19,20,12,30,19,34,41,31,32,23,25,39,40,30,41,29,20,17,20,31,17,21,17,17,18,18,17,18,10,20,11,11,13,23,12,34,5,6,3,12,12,12,16,7,3,2,2,2
E08000019,4,6,6,14,13,18,26,25,37,43,61,59,48,47,27,65,62,75,110,63,53,43,42,66,64,49,50,53,57,52,35,71,48,76,47,38,59,42,64,40,43,19,42,54,38,48,23,39,36,17,30,29,15,21,16,13,25,23,13,18,10
E08000018,1,0,0,1,2,2,2,3,4,9,10,12,9,16,10,16,27,27,29,22,15,18,11,9,8,21,21,20,22,10,26,35,20,29,14,21,22,18,19,19,22,20,23,13,9,29,15,20,16,11,13,6,5,12,6,11,7,5,3,9,8
E08000015,1,2,0,2,0,0,1,2,3,5,7,10,6,11,15,13,22,18,16,18,52,44,42,43,46,47,49,40,30,35,27,35,46,38,26,30,19,26,15,24,28,22,23,12,12,17,16,14,8,18,13,13,9,14,11,11,12,5,8,15,7
E08000013,1,0,1,0,0,2,1,4,2,2,4,11,10,12,14,10,20,23,18,29,26,29,28,19,27,31,15,21,12,10,15,9,9,28,23,22,9,3,14,30,10,25,20,10,2,15,17,5,8,12,6,1,1,3,5,4,0,4,2,10,5
E08000012,2,2,0,3,4,9,6,10,14,13,18,25,24,34,27,27,36,43,41,46,55,60,47,46,52,67,74,66,34,39,35,36,31,37,44,34,19,21,30,28,21,21,28,23,14,24,21,23,21,18,10,9,10,1,3,2,0,3,3,4,8
E08000009,2,1,2,1,0,5,4,7,4,9,5,10,10,15,8,13,8,19,13,28,27,26,16,19,22,19,31,19,23,16,12,11,24,7,18,11,13,8,16,23,13,9,12,8,8,10,8,11,12,9,7,4,13,9,6,6,5,5,1,12,16
E08000008,2,2,3,2,3,3,4,2,8,4,3,5,4,8,8,7,13,10,18,14,18,13,15,14,28,10,27,14,10,8,18,20,15,12,16,11,8,6,8,11,9,5,10,5,11,5,1,10,8,13,2,11,9,10,5,4,8,8,9,18,10
E08000007,3,3,0,3,6,7,7,2,6,6,6,10,9,15,8,10,12,23,18,33,28,31,26,26,45,28,30,34,32,26,14,38,20,24,20,20,23,15,21,13,24,19,19,15,12,14,15,21,26,12,9,14,13,15,7,8,6,7,9,9,11
E08000006,2,0,0,5,2,3,7,9,8,7,11,16,6,18,13,18,14,21,29,17,21,12,16,19,33,16,32,24,29,25,21,18,28,23,31,24,20,16,15,24,19,20,16,11,13,13,19,16,13,19,10,10,7,11,4,7,6,4,2,1,4
E08000005,1,0,1,3,5,1,1,3,6,1,10,7,8,15,11,13,8,11,19,16,9,16,17,11,17,27,36,23,18,16,16,20,25,19,12,16,10,14,26,17,16,11,13,4,4,10,14,7,6,8,4,4,13,16,7,12,9,4,3,3,11
E08000004,2,1,0,4,1,2,5,3,10,5,6,12,14,14,11,13,10,18,13,22,23,20,13,13,34,42,31,37,48,34,22,16,18,25,26,20,24,24,21,20,22,18,10,8,8,10,11,20,13,24,14,11,25,17,13,26,18,4,4,9,10
E08000003,7,0,3,6,4,3,4,4,3,4,12,9,14,22,14,31,23,24,33,28,35,30,40,36,73,59,53,63,37,43,37,40,49,30,15,15,29,19,31,27,24,20,29,14,17,13,23,17,17,15,14,10,17,26,26,17,11,11,15,15,17
E08000002,3,0,0,1,2,2,2,1,2,7,3,8,3,14,9,10,7,16,6,16,8,18,11,17,24,28,24,23,20,26,16,21,10,24,15,31,17,8,22,7,10,19,20,8,5,16,15,7,11,5,4,8,10,4,2,4,6,5,1,4,1
E08000001,1,0,2,3,1,3,2,2,1,3,2,5,5,6,7,11,3,17,22,25,17,35,22,15,32,24,45,42,29,30,25,35,31,30,23,26,17,23,20,27,35,20,14,10,7,8,25,15,14,17,9,2,12,12,8,8,9,5,9,10,7
E06000059,1,2,1,0,2,1,2,3,3,6,4,2,3,10,6,8,7,12,5,15,10,15,7,6,12,9,17,17,12,3,5,4,8,8,4,9,8,6,7,5,8,16,2,6,2,4,5,5,3,11,6,2,4,1,0,1,2,2,0,0,0
E06000057,1,0,2,1,2,1,2,1,0,3,7,8,8,12,7,10,6,7,17,40,24,23,25,23,28,30,35,36,24,39,37,31,31,19,17,25,25,20,23,23,13,9,21,13,3,11,15,18,19,16,1,6,10,8,19,10,6,2,2,24,5
E06000056,3,0,5,0,0,6,4,2,3,6,10,8,6,8,12,10,5,11,18,16,23,14,11,16,19,19,16,17,18,14,18,9,16,13,7,22,11,2,11,20,13,13,11,15,3,16,4,7,4,7,8,1,14,3,6,5,2,1,3,4,2
E06000055,1,0,0,0,2,2,2,0,1,5,10,8,6,9,15,5,3,7,11,14,12,19,6,5,15,16,20,23,17,9,10,16,20,13,18,16,11,3,7,20,9,29,12,5,5,10,11,14,15,2,5,6,7,8,6,9,2,3,3,2,9
E06000054,4,0,0,4,1,4,5,4,4,6,6,8,5,7,18,7,3,13,10,10,10,15,9,18,13,10,10,17,5,16,11,17,5,18,14,9,10,10,10,13,8,13,7,3,10,5,11,16,6,6,12,6,2,3,4,6,2,2,2,6,2
E06000052,1,1,1,3,2,5,2,6,3,3,6,3,4,11,15,10,11,11,20,21,17,18,15,11,19,14,16,18,12,13,20,21,10,8,24,14,13,6,8,11,4,13,7,6,8,11,1,13,4,3,4,9,4,6,2,4,6,6,4,3,2
E06000049,2,3,1,0,4,4,4,1,2,5,2,7,12,10,14,8,13,12,18,31,28,14,19,27,33,28,33,39,29,29,19,31,28,26,33,31,24,21,22,21,21,34,28,27,12,24,17,19,25,13,19,8,18,19,27,14,8,9,5,13,13
E06000045,2,0,1,2,1,2,3,3,6,4,6,2,6,15,13,10,9,17,19,14,17,10,11,12,9,15,13,22,9,7,10,11,17,9,14,20,15,5,17,16,14,14,7,4,3,9,8,10,15,7,5,8,11,4,5,6,7,4,3,7,7
E06000044,1,3,3,5,3,3,4,3,1,8,9,6,14,5,3,5,2,4,1,6,5,10,6,10,10,8,11,10,9,13,7,4,11,12,6,8,5,1,1,6,16,2,6,2,5,7,2,0,2,7,2,1,1,2,8,1,0,0,2,0,0
E06000043,2,0,2,2,0,4,2,3,3,3,4,7,6,9,12,8,9,6,6,19,12,11,13,11,10,16,19,6,11,8,11,9,13,15,11,15,12,8,8,7,1,5,2,4,4,1,12,5,4,5,0,2,4,7,0,0,0,0,2,2,1
E06000039,3,2,4,7,5,1,5,5,2,6,10,7,6,12,11,5,6,10,6,11,3,10,14,5,9,18,9,8,14,12,9,14,17,16,8,10,8,6,7,5,7,5,8,4,6,6,6,4,9,17,5,3,4,4,2,0,2,0,3,2,2
E06000035,3,0,2,1,2,1,3,2,10,3,11,16,10,11,8,9,9,10,17,33,24,15,24,19,30,37,21,20,23,18,13,11,13,16,16,25,17,12,19,17,9,14,15,5,7,5,11,9,8,8,8,0,13,5,15,5,1,6,6,5,12
E06000032,1,0,0,0,5,6,4,9,3,5,7,15,11,9,12,10,10,16,26,17,23,18,14,27,28,30,35,16,22,15,23,15,24,8,4,24,33,1,9,11,15,12,11,19,0,19,2,1,0,14,3,0,16,4,1,1,0,1,0,0,2
E06000030,2,0,1,0,1,2,0,1,0,3,3,4,3,5,3,1,5,6,4,8,12,7,12,10,9,17,15,19,14,16,10,15,17,12,16,11,6,14,17,8,12,10,7,4,3,2,12,5,3,7,10,3,1,4,3,9,2,4,7,4,3
E06000026,2,0,3,1,0,3,2,2,2,0,3,7,3,9,3,3,5,7,2,8,12,14,10,1,5,8,4,9,13,1,7,12,16,11,4,7,2,13,9,16,17,7,3,3,3,3,9,4,2,8,1,6,2,9,11,6,0,0,3,2,2
E06000025,3,0,1,0,1,2,1,0,3,3,8,5,13,4,6,8,9,15,11,6,9,10,9,9,10,9,27,13,6,6,4,2,8,19,6,7,9,7,16,10,5,3,9,11,2,6,1,2,6,3,5,4,4,4,3,9,3,3,2,5,2
E06000024,2,2,1,0,1,0,0,2,1,0,0,1,7,3,6,2,4,8,4,8,7,8,6,4,6,4,5,11,4,7,1,5,5,9,3,18,6,2,4,6,9,8,6,3,1,9,12,8,9,7,1,6,11,3,14,6,5,6,8,8,3
E06000022,1,0,0,1,0,5,3,3,1,2,4,3,4,5,4,2,6,5,0,5,4,4,1,5,11,7,8,11,16,10,2,6,9,7,4,6,4,10,1,4,5,6,5,0,3,2,2,1,1,3,2,2,0,1,0,2,1,0,1,1,0
E06000018,4,1,2,1,5,2,4,7,6,9,5,6,9,16,9,4,7,11,14,16,20,16,15,11,21,22,16,12,13,12,11,13,11,9,15,21,2,10,18,19,21,13,17,1,0,18,7,6,6,13,4,0,9,12,0,5,2,1,0,3,5
E06000016,1,0,0,2,3,5,6,2,5,7,11,20,5,13,8,11,1,5,27,33,24,26,15,20,26,22,20,31,20,17,22,9,13,15,10,11,15,23,28,16,21,16,16,13,1,21,22,13,12,6,3,5,20,5,17,8,6,10,10,9,5
E06000015,1,1,4,6,3,4,10,3,8,14,17,21,11,8,8,21,20,22,24,30,19,22,18,2,2,14,11,11,12,13,9,4,5,9,4,11,3,4,9,3,11,8,7,8,22,6,5,9,1,6,2,2,3,3,2,5,7,5,4,5,6
E06000014,1,1,0,0,2,2,2,1,1,0,1,2,1,1,5,7,0,4,5,12,11,8,4,4,10,13,10,9,6,3,5,12,7,7,10,12,4,6,8,10,13,10,9,8,7,13,9,19,12,3,8,10,14,23,9,14,5,5,7,13,6
E06000011,4,0,0,2,1,1,2,0,0,2,5,2,6,3,3,3,10,12,15,9,7,12,14,10,20,20,21,9,22,6,16,17,26,24,21,13,12,21,27,23,14,21,26,22,20,27,23,34,28,19,8,10,15,17,15,12,4,10,4,11,13
E06000008,1,0,0,0,0,0,0,2,0,1,3,4,1,2,4,4,8,8,8,8,12,9,10,8,10,14,12,17,12,10,11,11,16,9,11,5,14,5,8,8,8,11,8,6,3,5,4,10,8,7,2,1,6,5,8,7,2,3,1,4,4
E06000006,1,1,0,1,2,0,0,1,0,0,0,5,3,2,7,9,2,12,9,8,14,18,12,15,22,12,14,15,12,11,4,8,10,11,10,10,6,9,7,5,4,5,5,1,0,6,4,7,5,3,2,2,3,2,1,3,4,1,0,4,3
E06000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
